Model,Config,Val_Accuracy,Val_Macro_F1,Val_WLogLoss,Test_Accuracy,Test_Macro_F1,Test_Weighted_LogLoss,Experiment,Kernels,C,Scaler,ClassWeight,Test_WLogLoss
Baseline_CNN1D,cnn_baseline,0.18495934959349594,0.26723771553325004,2.009200781529492,0.20437956204379562,0.2698616875495415,2.043592155819862,,,,,,
Baseline_CNN1D,cnn_grid_1,0.258130081300813,0.2919896802017187,1.9576511963971315,0.28629359286293593,0.30143020467928494,2.0490208935474747,,,,,,
Baseline_CNN1D,cnn_grid_2,0.18495934959349594,0.26451103402361664,2.0412912874297886,0.18004866180048662,0.24477524987718732,2.0706267287712925,,,,,,
Baseline_CNN1D,cnn_grid_1 (retrain train+val),,0.2919896802017187,,0.28629359286293593,0.30143020467928494,2.0490208935474747,,,,,,
Baseline_RNN1D,rnn_baseline,0.266260162601626,0.12413851813935121,2.7162843621003527,0.2708840227088402,0.1201589767743486,4.424542494191158,,,,,,
Baseline_RNN1D,rnn_grid_1,0.18089430894308944,0.11808366178476394,2.7199972489629443,0.21695052716950528,0.14302076501983205,4.031391570799183,,,,,,
Baseline_RNN1D,rnn_grid_2,0.2032520325203252,0.18976358851319444,2.5102930065618034,0.19018653690186538,0.17876655390814894,3.917318903833734,,,,,,
Baseline_RNN1D,rnn_grid_2 (retrain train+val),,0.18976358851319444,,0.19018653690186538,0.17876655390814894,3.917318903833734,,,,,,
Baseline_LSTM1D,lstm_baseline,0.4105691056910569,0.4695508607745846,1.2833627073774432,0.3896999188969992,0.4205215318950654,1.3965360928074386,,,,,,
Baseline_LSTM1D,lstm_grid_1,0.39634146341463417,0.44936469267398454,1.3684256512433097,0.4047039740470397,0.43034916560952585,1.4218116974294697,,,,,,
Baseline_LSTM1D,lstm_grid_2,0.3983739837398374,0.39057291787690546,1.4968644611195554,0.3844282238442822,0.3552160612455487,1.7990188817166706,,,,,,
Baseline_LSTM1D,lstm_baseline (retrain train+val),,0.4695508607745846,,0.3896999188969992,0.4205215318950654,1.3965360928074386,,,,,,
Mantis_V1_LinearProbe,mantis_v1_c0.1_noscaler_unbalanced,0.6036585365853658,0.4768025755966816,1.725025020120221,0.6192214111922141,0.4782198061553115,1.8203225989896437,,,,,,
Mantis_V1_LinearProbe,mantis_v1_c1_noscaler_unbalanced,0.5792682926829268,0.4801315501523472,2.29280956862615,0.5900243309002433,0.4761757246189508,2.4866445062677247,,,,,,
Mantis_V1_LinearProbe,mantis_v1_c10_noscaler_unbalanced,0.5630081300813008,0.4866496941744304,4.0887441690699795,0.556772100567721,0.48042592407487045,4.26755501939531,,,,,,
Mantis_V1_LinearProbe,mantis_v1_c1_scaler_unbalanced,0.5995934959349594,0.4877152589929464,2.038051139680846,0.5952960259529603,0.4705645494432977,2.1964419362871705,,,,,,
Mantis_V1_LinearProbe,mantis_v1_c1_scaler_balanced,0.508130081300813,0.47782686841017774,1.9109328241798578,0.4991889699918897,0.4697840246280527,2.0165417331315565,,,,,,
Mantis_V1_LinearProbe,mantis_v1_c10_scaler_balanced,0.5203252032520326,0.5114459183419041,3.1002383500129773,0.5113544201135442,0.4719057807832949,3.3619060003671244,,,,,,
Mantis_V1_LinearProbe,mantis_v1_c10_scaler_balanced (retrain train+val),,0.5114459183419041,,0.508110300081103,0.4672380390115601,3.175582348090439,,,,,,
Mantis_V2_LinearProbe,mantis_v2_c0.1_noscaler_unbalanced,0.6158536585365854,0.4704743728756014,1.6971671714680503,0.6346309813463098,0.47160836421169366,1.697647994681052,,,,,,
